symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00043000,-2.244,0.01880305,0.01917000,0.01873000,2.73550000,0.01873000,83.06850000,0.01874000,7.87160000,0.01916000,0.01916000,0.01844000,25404.50440000,477.68225345,1744749554842,1744835954842,492977625,493052169,74545
LTCBTC,-0.00000800,-0.888,0.00089198,0.00090200,0.00089300,22.06200000,0.00089200,358.16500000,0.00089300,349.63800000,0.00090100,0.00091400,0.00087500,31268.00000000,27.89038264,1744749554067,1744835954067,104891676,104900007,8332
BNBBTC,-0.00000100,-0.014,0.00692007,0.00693200,0.00693000,0.94100000,0.00693000,22.08600000,0.00693100,0.36000000,0.00693100,0.00697900,0.00685500,7982.90500000,55.24224905,1744749550307,1744835950307,271615819,271635428,19610
NEOBTC,0.00000050,0.778,0.00006457,0.00006430,0.00006480,695.46000000,0.00006470,37.12000000,0.00006480,270.60000000,0.00006430,0.00006730,0.00006240,170351.41000000,10.99936216,1744749554051,1744835954051,47450302,47454059,3758
QTUMETH,0.00003900,3.210,0.00124743,0.00121100,0.00125400,33.40000000,0.00125300,116.40000000,0.00125600,187.60000000,0.00121500,0.00125400,0.00121500,4254.30000000,5.30695910,1744749544823,1744835944823,5521167,5521225,59
EOSETH,0.00002810,7.646,0.00039110,0.00036940,0.00039560,15.00000000,0.00039570,14.30000000,0.00039630,1074.00000000,0.00036750,0.00040800,0.00036450,58389.80000000,22.83651095,1744749554298,1744835954298,23896998,23898256,1259
SNTETH,0.00000558,48.862,0.00001509,0.00001141,0.00001700,203.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00001142,0.00004538,0.00001141,6625338.00000000,99.96094802,1744686062471,1744772462471,4106967,4110152,3186
BNTETH,0.00000000,0,0.00000000,0.00020260,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1744189452884,1744275852884,-1,-1,0
BCCBTC,0.00000000,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1744189452884,1744275852884,-1,-1,0
GASBTC,0.00000850,21.303,0.00004558,0.00003980,0.00004840,92.10000000,0.00004840,75.30000000,0.00004850,1105.40000000,0.00003990,0.00005020,0.00003920,608653.90000000,27.74491361,1744749550489,1744835950489,22782200,22809282,27083
