symbol,priceChange,priceChangePercent,lastPrice,volume,quoteVolume
ETHBTC,-0.00042,-2.191,0.01875,25425.2419,478.08251325
LTCBTC,-8e-06,-0.888,0.000893,31256.765,27.88042665
BNBBTC,-7e-06,-0.101,0.006927,7981.626,55.23339069
NEOBTC,5e-07,0.778,6.48e-05,170351.41,10.99936216
QTUMETH,3.9e-05,3.21,0.001254,4254.3,5.3069591
EOSETH,2.76e-05,7.51,0.0003951,58327.8,22.81200606
SNTETH,5.58e-06,48.862,1.7e-05,6625338.0,99.96094802
BNTETH,0.0,0.0,0.0,0.0,0.0
BCCBTC,0.0,0.0,0.0,0.0,0.0
GASBTC,8.7e-06,21.805,4.86e-05,608468.5,27.73593092
BNBETH,0.0077,2.129,0.3694,6923.924,2547.9538619
BTCUSDT,462.67,0.551,84486.0,21761.77933,1828231039.8330572
ETHUSDT,-26.01,-1.615,1584.3,610882.8442,965008823.601608
HSRBTC,0.0,0.0,0.0,0.0,0.0
OAXETH,0.0,0.0,0.0,0.0,0.0
DNTETH,0.0,0.0,0.0,0.0,0.0
MCOETH,0.0,0.0,0.0,0.0,0.0
ICNETH,0.0,0.0,0.0,0.0,0.0
MCOBTC,0.0,0.0,0.0,0.0,0.0
WTCBTC,0.0,0.0,0.0,0.0,0.0
WTCETH,0.0,0.0,0.0,0.0,0.0
LRCBTC,0.0,0.0,1.03e-06,446750.0,0.45995538
LRCETH,8.1e-07,1.496,5.497e-05,383735.0,21.12220177
QTUMBTC,3.2e-07,1.38,2.351e-05,44593.9,1.04117071
YOYOBTC,0.0,0.0,0.0,0.0,0.0
OMGBTC,0.0,0.0,0.0,0.0,0.0
OMGETH,0.0,0.0,0.0,0.0,0.0
ZRXBTC,1e-08,0.356,2.82e-06,184791.0,0.5160517
ZRXETH,0.0,0.0,0.0,0.0,0.0
STRATBTC,0.0,0.0,0.0,0.0,0.0
STRATETH,0.0,0.0,0.0,0.0,0.0
SNGLSBTC,0.0,0.0,0.0,0.0,0.0
SNGLSETH,0.0,0.0,0.0,0.0,0.0
BQXBTC,0.0,0.0,0.0,0.0,0.0
BQXETH,0.0,0.0,0.0,0.0,0.0
KNCBTC,6e-08,1.617,3.77e-06,107847.5,0.40681928
KNCETH,0.0,0.0,0.0,0.0,0.0
FUNBTC,0.0,0.0,0.0,0.0,0.0
FUNETH,0.0,0.0,0.0,0.0,0.0
SNMBTC,0.0,0.0,0.0,0.0,0.0
SNMETH,0.0,0.0,0.0,0.0,0.0
NEOETH,0.0,0.0,0.0,0.0,0.0
IOTABTC,0.0,0.0,1.88e-06,642567.0,1.1993194
IOTAETH,1.29e-06,1.305,0.00010014,12516.0,1.24743657
LINKBTC,-5e-07,-0.339,0.0001472,102904.28,14.99066686
LINKETH,0.000139,1.803,0.007847,102945.44,797.59451915
XVGBTC,0.0,0.0,0.0,0.0,0.0
XVGETH,7e-08,2.745,2.62e-06,19927213.0,52.41373858
SALTBTC,0.0,0.0,0.0,0.0,0.0
SALTETH,0.0,0.0,0.0,0.0,0.0
MDABTC,0.0,0.0,0.0,0.0,0.0
MDAETH,0.0,0.0,0.0,0.0,0.0
MTLBTC,7.2e-07,8.117,9.59e-06,227985.1,2.17994959
MTLETH,0.0,0.0,0.0,0.0,0.0
SUBBTC,0.0,0.0,0.0,0.0,0.0
SUBETH,0.0,0.0,0.0,0.0,0.0
EOSBTC,3.3e-07,4.661,7.41e-06,716600.4,5.27630512
SNTBTC,1e-07,45.455,3.2e-07,7599159.0,2.21225122
ETCETH,0.00015,1.608,0.00948,1008.27,9.4817214
ETCBTC,-9e-07,-0.503,0.0001779,19755.26,3.49686366
MTHBTC,0.0,0.0,0.0,0.0,0.0
MTHETH,0.0,0.0,0.0,0.0,0.0
ENGBTC,0.0,0.0,0.0,0.0,0.0
ENGETH,0.0,0.0,0.0,0.0,0.0
DNTBTC,0.0,0.0,0.0,0.0,0.0
ZECBTC,-5.6e-06,-1.491,0.00037,13750.404,5.16904127
ZECETH,-1e-05,-0.051,0.01965,653.329,12.81045259
BNTBTC,0.0,0.0,0.0,0.0,0.0
ASTBTC,0.0,0.0,0.0,0.0,0.0
ASTETH,0.0,0.0,0.0,0.0,0.0
DASHBTC,-2e-06,-0.824,0.0002407,3098.944,0.74651299
DASHETH,4e-05,0.314,0.01279,835.552,10.76562245
OAXBTC,0.0,0.0,0.0,0.0,0.0
ICNBTC,0.0,0.0,0.0,0.0,0.0
BTGBTC,0.0,0.0,0.0,0.0,0.0
BTGETH,0.0,0.0,0.0,0.0,0.0
